,Produktnamn,Registreringsnummer
1555,Banjo Forte,5096
1556,Ficam D,5784
1557,Floramite 240 SC,4832
1558,Harmonix FOLIAPLUS,5802
1559,K-Othrine SC 7.5,5795
1560,K-Othrine WG 250,5791
1561,Milbeknock,4928
1562,Proplant,4655
1563,Quick Bayt,5794
1564,Racumin 3D,5787
1565,Racumin Boost,5787
1566,Racumin DUO,5787
1567,Racumin Jump,5787
1568,Racumin NEO,5787
1569,Racumin Pasta,5793
1570,Racumin PLUS,5787
1571,Racumin PRO,5787
1572,Ranman Top,4995
1573,Clearrigation,5775
1574,EndoSan,5775
1575,Intra Cup-clean,5775
1576,Intra Hydro pure,5775
1577,Intra Hydrocare,5775
1578,Intra Hydrocare,5775
1579,Intra Hydro-pure,5775
1580,WaterSafe,5775
1581,Zorvec Endavia,5614
1582,Boracol 10/3Bd Prof,5778
1583,Boracol Special,5778
1584,Boracol Special 10/3Bd,5778
1585,Caryx,5452
1586,Mizuki,
1587,TEPPEKI,4966
1588,Sodium hypochlorite 15 %,5144
1589,Dermosil Classic Mygg- och fästingmedel,5769
1590,Vibrance Gold,5528
1591,Raptol,5351
1592,Roundup Flick,5297
1593,NattaroSafe,5764
1594,SANYTOL DESINFEKTIONSMEDEL 4 ACTIONS FRESH,5611-2-2
1595,SANYTOL DESINFEKTIONSMEDEL 4 ACTIONS FRESH PROFESSIONELL,5611-2-4
1596,SANYTOL DESINFEKTIONSMEDEL ÄPPLE FRESH,5611-3-7
1597,SANYTOL DESINFEKTIONSMEDEL BADRUM FRESH,5611-1-7
1598,SANYTOL DESINFEKTIONSMEDEL BADRUM FRESH PROFESSIONELL,5611-1-12
1599,SANYTOL DESINFEKTIONSMEDEL CITRON FRESH,5611-3-3
1600,SANYTOL DESINFEKTIONSMEDEL CITRON FRESH PROFESSIONELL,5611-3-10
1601,SANYTOL DESINFEKTIONSMEDEL DOFT FRESH,5611-1-8
1602,SANYTOL DESINFEKTIONSMEDEL FRESH,5611-3-1
1603,SANYTOL DESINFEKTIONSMEDEL FRESH PROFESSIONELL,5611-3-9
1604,SANYTOL DESINFEKTIONSMEDEL GRAND FRESH,5611-3-8
1605,SANYTOL DESINFEKTIONSMEDEL GRAPEFRUKT FRESH,5611-3-2
1606,SANYTOL DESINFEKTIONSMEDEL KÖK FRESH,5611-2-1
1607,SANYTOL DESINFEKTIONSMEDEL KÖK FRESH PROFESSIONELL,5611-2-3
1608,SANYTOL DESINFEKTIONSMEDEL OCEAN FRESH,5611-3-5
1609,SANYTOL DESINFEKTIONSMEDEL TALL FRESH,5611-3-4
1610,SANYTOL DESINFEKTIONSMEDEL TEXTIL NEUTRAL FRESH,5611-1-10
1611,SANYTOL Desinfektionsmedel Textilparfym FRESH,5611-1-9
1612,SANYTOL RENGÖRINGS- OCH DESINFEKTIONSMEDEL NEUTRAL FRESH,5611-3-6
1613,SANYTOL UNIVERSAL DESINFEKTIONSMEDEL,5611-1-1
1614,SANYTOL UNIVERSAL DESINFEKTIONSMEDEL ÄPPLE FRESH,5611-1-5
1615,SANYTOL UNIVERSAL DESINFEKTIONSMEDEL FRESH PROFESSIONELL,5611-1-11
1616,SANYTOL UNIVERSAL DESINFEKTIONSMEDEL GRAND FRESH,5611-1-6
1617,SANYTOL UNIVERSAL DESINFEKTIONSMEDEL GRAPEFRUKT FRESH,5611-1-2
1618,SANYTOL UNIVERSAL DESINFEKTIONSMEDEL TALL FRESH,5611-1-3
1619,SANYTOL UNIVERSAL RENGÖRINGS- OCH DESINFEKTIONSMEDEL NEUTRAL FRESH,5611-1-4
1620,Karate CS,
1621,Pirouette,5298
1622,Syllit 544 SC,5216
1623,Harpic Power Plus 10X Clean & Protect Citrus,5686-1-11
1624,Harpic Power Plus 10X Clean & Protect Marine Explosion,5686-1-12
1625,Harpic Power Plus 10X Clean & Protect Original,5686-1-10
1626,Harpic Power Plus 10X Clean & Protect Platinum Original,5686-1-13
1627,Harpic Power Plus 10X Clean & Protect Spring,5686-1-14
1628,VitiSan,5731
1629,Orocide Plus,5605
1630,Teldor WG 50,4339
1631,Forester,4808
1632,Fibro,5174
1633,CDQ SX,5432
1634,Cedomon,4234
1635,Cedress,4935
1636,Cerall,4746
1637,Express 50 SX,5430
1638,LALSTOP CONTANS WG,5756
1639,Roundup Ultra,3937
1640,Trimmer 50 SG,5434
1641,Vertimec,4693
1642,Nexide CS,5595
1643,Nexide CS,5595
1644,Primus 250 WG,5335
1645,Afepasa Greenhouse Sulphur Tablets,5755
1646,Botiga,5737
1647,Primus,4552
1648,Vibrance Duo,5342
1649,TYPO-Lab A10,
1650,Typosan IPS,
1651,Aquawood Ligno+,5633-1-4
1652,Aquawood Ligno+ Base,5633-1-14
1653,Aquawood Ligno+ Base Eiche Natur,5633-1-15
1654,Aquawood Primo A1,5633-1-6
1655,Aquawood Primo A2,5633-1-16
1656,Aquawood Primo A3,5633-1-15
1657,Aquawood Primo A4,5633-1-7
1658,Aquawood Primo A5,5633-1-3
1659,Aquawood Primo A6,5633-1-8
1660,Aquawood Primo TIM,5633-1-9
1661,Aquawood TIG E Kastanie,5633-1-2
1662,Aquawood TIG E1,5633-1-10
1663,Aquawood TIG E3,5633-1-11
1664,Aquawood TIG E4,5633-1-12
1665,Aquawood TIG E5,5633-1-13
1666,Aquawood TIG HighRes Castagno,5633-1-3
1667,Aquawood TIG mid brown,5633-1-1
1668,Aquawood TIM NG,5633-1-5
1669,Aerosol Liquid,5754-3-1
1670,Antimite Suspension Product,5754-2-1
1671,Bed Bug Tape,5754-5-1
1672,Biofa Dust 1,5754-1-1
1673,Biofa Suspension,5754-6-1
1674,Grandiol Ameisen-Streupulver,5754-1-1
1675,Grandiol Ungeziefer-Spray,5754-3-1
1676,Grandiol Ungeziefer-Streupulver,5754-1-1
1677,Home & garden crawling insect killer,5754-1-1
1678,InsectoSec,5754-6-1
1679,InsectoSec,5754-1-1
1680,InsectoSec liquid,5754-4-1
1681,InsectoSec liquid PRO,5754-2-1
1682,InsectoSec Spray,5754-3-1
1683,InsectoSec tape,5754-5-1
1684,InsectoSec-Insektenspray,5754-3-1
1685,Insekt Stop N,5754-3-1
1686,Insektspulver,5754-1-1
1687,Insektsspray,5754-3-1
1688,Kieselgur Spray,5754-3-1
1689,Kiselgur spray,5754-3-1
1690,Kvalster Stop,5754-1-1
1691,Kvalsterfri,5754-6-1
1692,Kvalsterfri liquid,5754-4-1
1693,Milben & Ungeziefer frei,5754-1-1
1694,Milben frei,5754-1-1
1695,Milben Stop,5754-1-1
1696,MYR Stop,5754-1-1
1697,MyrNIX,5754-6-1
1698,MyrNIX liquid,5754-4-1
1699,MyrNIX powder,5754-1-1
1700,MyrNIX spray,5754-3-1
1701,N Aerospray,5754-3-1
1702,N Kiselpulver,5754-1-1
1703,N Spray,5754-4-1
1704,Nattaro Bug Dust,5754-1-1
1705,RTU Liquid,5754-4-1
1706,Stop Insekt N,5754-3-1
1707,Stop It N,5754-4-1
1708,Stop N Spray,5754-4-1
1709,Ungeziefer ex,5754-1-1
1710,Vermin Stop,5754-1-1
1711,VermiNIX,5754-6-1
1712,VermiNIX liquid,5754-4-1
1713,VermiNIX powder,5754-1-1
1714,VermiNIX spray,5754-3-1
1715,Fenix,5288
1716,Antimicrobial 7287 DPG,5744
1717,AQUCAR BP 100 Water Treatment Microbiocide,5749
1718,AQUCAR DB 100 Water Treatment Microbiocide,5746
1719,AQUCAR DB 20 Water Treatment Microbiocide,5745
1720,A-TOX,5751
1721,Bansan 150,5743
1722,Bansan 240,5747
1723,Bansan 500,5748
1724,Bansan 820,5745
1725,Kathon WTE,5743
1726,Latitude,4766
1727,Phero-X-Lure IT,
1728,Protox Insekt Konc.,5752
1729,Mospilan SG,5708
1730,Latitude XL,5310
1731,Nexide CS,5595
1732,FLiPPER,5512
1733,Sluggers Snigelmedel pellets,PHT-0084-5698
1734,Celcure MC-T2,5391
1735,Celcure MC-T3,5391
1736,Ally Class 50 WG,5425
1737,Cleravo,5330
1738,Gyllebo Plantskydd Flytande,4262
1739,Gyllebo Plantskydd Pulver,4261
1740,Neudosan AF Bladlöss Effekt,PHT-0082-4919
1741,Neudosan AF Insekt Effekt,PHT-0083-4919
1742,Tanalith E 3462,5497
1743,Tanalith E 3463,5497
1744,Tanalith E 3475,5497
1745,Gårdsservice Flugspray,4837
1746,Regalis Plus,5283
1747,Evolya,5723
1748,Meristo,5722
1749,Bonus AlgVäck koncentrat,5618
1750,Enclean,5618
1751,Hussar Plus OD,5661
1752,Bonus AlgVäck färdigblandat,5619
1753,Cabrio Duo,5300
1754,Enclean Ready to Use,5619
1755,Enclean RTU,5619
1756,Enclean RTU,5619
1757,Raptol,5351
1758,Spray twice a day,EU-0024114-0000
1759,SF Brons WG,PHT-0081-5390
1760,Trimmer 500 WG,5727
1761,Imidasect Ants,5358
1762,Racumin Expert,5720
1763,MyggA Natural Spray,4901
1764,NonStop EC,4821
1765,Seaguardian,4318
1766,Spectrum RX8560,3402
1767,Sure instant hand sanitizer,EU-0016940-0000
1768,Kathon WTE,5649
1769,FästingFritt Spray,4909
1770,MyggFritt Lotion,4908
1771,MyggFritt Spray,4907
1772,Prestop,4934
1773,Talius,5498
1774,Signum,4884
1775,Autan Defense Plant Based Active Ingredient* Insect Repellent,4317
1776,NALCO 74733,5721
1777,Callisto,5710
1778,Dipal Plus,5559-4-1
1779,Vibrance Star,5488
1780,Axial 50 EC,5669
1781,Glyphomax 480,5109
1782,Jura,5568
1783,K-Obiol EC 25,5014
1784,K-Obiol ULV6,5015
1785,Purelo,5567
1786,Roundup Flex,5065
1787,Roundup Flick,5297
1788,Roundup Plug,5718
1789,Roundup PowerMax,5296
1790,AQUAPRIMER 2907-63 DUMMY - PIGMENTED 2%,5715-2-5
1791,AQUAPRIMER 2907-63 RAL 9010,5715-2-3
1792,AQUAPRIMER 2907-63 REF. MAX TONING (2%),5715-2-2
1793,AQUAPRIMER 2907-63 TS 14872 GREY,5715-2-4
1794,AQUAPRIMER 2907-63 WHITE BASE,5715-2-1
1795,Mosi-guard Natural spray,4317
1796,Sanytol 4 i 1 Våtservetter,5717-3-1
1797,Sanytol Desinfekterande Textilspray Husdjur PROTECT,5717-1-2
1798,Sanytol Desinfektionsmedel Textilparfym PROTECT,5717-1-1
1799,Sanytol Koncentrerad Universell Desinfektionsrengöring Citron,5717-2-3
1800,Sanytol Koncentrerad Universell Desinfektionsrengöring Eukalyptus,5717-2-1
1801,Sanytol Koncentrerad Universell Desinfektionsrengöring Ocean,5717-2-2
1802,Sanytol Våtservetter för köket,5717-3-2
1803,TEKNOCOMBI 2917-62 DUMMY - PIGMENTED 2%,5715-1-13
1804,TEKNOCOMBI 2917-62 NCS - S0500N,5715-1-3
1805,TEKNOCOMBI 2917-62 NCS - S0502Y,5715-1-4
1806,TEKNOCOMBI 2917-62 RAL 1013,5715-1-5
1807,TEKNOCOMBI 2917-62 RAL 7035,5715-1-6
1808,TEKNOCOMBI 2917-62 RAL 7042,5715-1-7
1809,TEKNOCOMBI 2917-62 RAL 9001,5715-1-8
1810,TEKNOCOMBI 2917-62 RAL 9003,5715-1-9
1811,TEKNOCOMBI 2917-62 RAL 9010,5715-1-10
1812,TEKNOCOMBI 2917-62 RAL 9016,5715-1-11
1813,TEKNOCOMBI 2917-62 REF. MAX TONING (2%),5715-1-2
1814,TEKNOCOMBI 2917-62 TS 7086,5715-1-12
1815,TEKNOCOMBI 2917-62 WHITE BASE,5715-1-1
1816,Myr Effekt utvattning,4730
1817,Absorbine Ultrashield Brand Residual Insecticide,4757
1818,Busan 1228,4667
1819,Busan 30 WB,4635
1820,Busan 94S,4613
1821,Busperse 2454,5282
1822,Myrdosa F,5620
1823,Stop ants,5620
1824,Integral Pro,5483
1825,Celcure C65,5709
1826,Tocalis,5711
1827,AQUCAR GA 24 Water Treatment Microbiocide,5643
1828,AQUCAR GA 50 Water Treatment Microbiocide,5644
1829,Mospilan SG,5708
1830,Mospilan SG,5708
1831,Trimmer 500 WG,5171
1832,Care Plus Anti-Insect Natural roll-on,4630
1833,Maxforce Quantum,5383
1834,Mygg & Fästing Roll-on Citroneukalyptus 30%,4630
1835,Mygg & Fästing Spray Citroneukalyptus 30%,4317
1836,Zenby,5705
1837,Harmonix FOLIAPLUS,5704
1838,VitiSan,5480
1839,Attribut SG 70,5445
1840,Bushman Repellent Dry Gel,5392
1841,Bushman Repellent Pump Spray,5394
1842,Bushman Repellent Roll-on Gel,5393
1843,Conviso One,5254
1844,Talius,5498
1845,Metaxon,5700
1846,Lamdex,
1847,Autan Botanicals - Spray,4317
1848,Duplosan D,5664
1849,Doff Snigel Stop Plus,5699
1850,Spotlight Plus,5577
1851,Gozai,
1852,MaisTer Power,5694
1853,NeemAzal-T/S,5387
1854,Alpha Pasta 4%,5589-1-1
1855,Black pearl grain,5588-1-1
1856,Black pearl pasta,5589-1-1
1857,Flash Grain,5588-1-1
1858,Flash Paste,5589-1-1
1859,Grain AF,5588-1-1
1860,Kobra Rax Musgift Korn,5588-1-1
1861,Kobra Rax Musgift Pasta,5589-1-1
1862,Magik Grain,5588-1-1
1863,Magik Paste,5589-1-1
1864,Muridax AK bete,5588-1-1
1865,Muridax AK box,5589-1-1
1866,Muridax AK pasta,5589-1-1
1867,Muskorn,5588-1-1
1868,Paste AF,5589-1-1
1869,Racan Grain AF,5588-1-1
1870,Racan Paste AF,5589-1-1
1871,Red pearl grain,5588-1-2
1872,Red pearl pasta,5589-1-2
1873,Renons flugkräm,4787
1874,Renons flugmedel,4788
1875,Rodicum Express,5587
1876,Trinol Musgift,5588-1-1
1877,Platina WG,PHT-0080-4201
1878,Titus,5499
1879,Boracol 15,5690
1880,MyrNix,4993
1881,Apron XL,5635
1882,SUGOI,PHT-0079-4995
1883,Trianum G,5271
1884,TRIANUM-P,5041
1885,Harmonix 3D,5632
1886,Harmonix Nager Paste,5632
1887,Harmonix Rodent Paste,5632
1888,Rancona i-Mix,5295
1889,Cillit Bang Citrus Force / Harpic Power Plus Citrus Force,5686-1-2
1890,Cillit Bang Hygiene / Harpic Power Plus Hygiene,5686-1-5
1891,Cillit Bang Marine Force / Harpic Power Plus Marine Force,5686-1-3
1892,Cillit Bang Original / Harpic Power Plus Original,5686-1-4
1893,Cillit Bang Spring Power / Harpic Power Plus Spring Power,5686-1-1
1894,Harpic Platinum Pro-Shield Fresh,5686-1-9
1895,Harpic Platinum Pro-Shield Lavender,5686-1-8
1896,Harpic Platinum Pro-Shield Marine,5686-1-7
1897,Harpic Platinum Pro-Shield Original,5686-1-6
1898,Requiem prime,5504
1899,Tork Surface Disinfecting Spray,EU-0026127-0000
1900,Centium 36 CS,4778
1901,Bontima,5535
1902,Mospilan SG,4739
1903,Polygandron STP,5572
1904,Polygandron TTP,5573
1905,Polygandron WP,5571
1906,Substral Myrpulver,5333
1907,NeemAzal-T/S,5387
1908,Elatus Era,5321
1909,Sluggers snigelmedel,PHT-0078-4414
1910,Dismate PE,EU-0024354-0000
1911,Goliath Gel,5370
1912,Tanalith MF,5637
1913,Vacsol Aqua 6118,5637
1914,Teknol Aqua 1411-01,5671
1915,TYPO-Lab A10,
1916,Typosan IPS,
1917,Cif Disinfect & Shine Kitchen,EU-0018737-0013
1918,Glorix Disinfect & Shine Keuken,EU-0018737-0013
1919,Hygienix Heavy Duty Cleaning and Disinfection Liquid HDL-M-062004_03,EU-0018737-0013
1920,Seventh Generation Disinfect & Shine Kitchen,EU-0018737-0013
1921,Seventh Generation Free & Clear Kitchen,EU-0018737-0013
1922,Autan Protection Plus Pumpspray,4314
1923,Autan Protection Plus Pumpspray - Fästing,4653
1924,Autan Protection Plus Spray,4829
1925,Phero-X-Lure,
1926,Roundup E,5118
1927,Roundup Gel,5066
1928,Roundup Gel Max,5305
1929,Roundup Plug,5359
1930,Roundup Q,4562
1931,Roundup Terrace,4996
1932,Event,4222
1933,Event Super,4222
1934,B3 Grundingsolie WB,4745-1-1
1935,Bridex Primer TRÄSKYDDSGRUND vattenspädbar,4745-1-1
1936,Flügger 01 Wood Tex Grundolja,4745-1-1
1937,Osmo Color Träimpregnering WR Aqua 4008,4745-1-1
1938,Protox Akvagrund 2,4745-1-1
1939,RAW ACRYL-WOOD PRIMER EXTERIOR,4745-1-1
1940,StoPrim Protect WN,4745-1-1
1941,TWP 085,4745-1-1
1942,WOODEX AQUA BASE PLUS,4745-1-1
1943,WSL wood stain,4745-1-1
1944,Tork Antimicrobial hand washing liquid soap,EU-0024666-0000
1945,Tork Hand Sanitizing Alcohol-Free Foam,EU-0025394-0000
1946,Wolmanit CX-8 WB,5003
1947,Switch 62.5 WG,4587
1948,Tanasote S40,5682
1949,Pilot,PHT-0077-5547
1950,Tartan 360-K,PHT-0076-5550
1951,Buffodine,5537
1952,Ferroslug,5678 
1953,Septacid S,5662-1-1
1954,Septacid S PS,5662-2-1
1955,Petwise Fästing Halsband,4973
1956,Clomate,5521
1957,Harub,PHT-0075-5667
1958,"Raid Flug, Geting & Mygg Dödare",4375
1959,Fazor,4683
1960,Ascernity,5676
1961,NOWO WOOD W11,5674
1962,TWP 092i,5622
1963,Centium 36 CS,4778
1964,Starane 333 HL,5234
1965,Mavrik,4491
1966,Mavrik 2F,4491
1967,Moddus Start,5194
1968,Azatin EC,5505
1969,Ferramol Snigel Effekt,4414
1970,Ferrex,5340
1971,Ferrex Garden,5341
1972,NEU 1181 M,4894
1973,Preferal,5344
1974,SLUXX HP,4893
1975,Snigel Fritt,4434
1976,Gigant,5668
1977,Dilurit BC S,5670
1978,Fungitrol 400G,5529--4-1
1979,Fungitrol L20 DPG,5529--2-1
1980,Fungitrol L30 DPG,5529--3-1
1981,Polyphase P100G,5529--4-1
1982,Troyshield F20,5529--2-1
1983,Troyshield FX40,5529--3-1
1984,Troyshield PA10,5529--1-1
1985,Focus Ultra,5328
1986,Biltema Ogräsättika,PHT-0074-5628
1987,Kerb Flo 400,4610
1988,Asathron,4597
1989,Impralit BKD,4617
1990,Impralit KDS,4406
1991,Impralit KDS 4,4506
1992,Purate,4806
1993,Wolsit KD-20 C,5007
1994,FlyKill,4740
1995,Thermacell myggskydd,4775
1996,Tanaco Flue Chok,4837
1997,Mr Mosquito,4955
1998,Systiva,5665
1999,MyggA Spray,4887
2000,Duoex V4,4952
2001,Centaura,4946
2002,AMP 1 RB B,5658
2003,AMP 1 RB S,5657
2004,AMP 2 CL,5656
2005,AMP 2 MG,5655
2006,Anti MyrA Insektsspray,5656
2007,Anti MyrA Myrdosa,5658
2008,Anti MyrA Myrpulver,5655
2009,MotMyra Myrdosa,5658
2010,MotMyra Myrpulver,5655
2011,Myrr Flex,5655
2012,Matrigon 72 SG,5013
2013,Pictor Active,5405
2014,Gigant,5652
2015,Brodifacoum Bait Blocks,5636-2-1
2016,Brodifacoum Soft Bait,5636-4-1
2017,Goltix Gold,5625
2018,Dimilin 5,4582
2019,Jablo FL,PHT-0072-5297
2020,Spectra FL,PHT-0073-5297
2021,Atlantis OD,5641
2022,Avaunt,5433
2023,Boxer,5565
2024,Contans WG,4677
2025,Cossack OD,5642
2026,Dutch Trig,4896
2027,Hussar Plus OD,5221
2028,MCPA 750,3345
2029,Nufarm MCPA 750,3236
2030,Othello OD,5268
2031,Roxy 800 EC,5566
2032,Steward 30 WG,5429
2033,Antimicrobial 7287 DPG,5648
2034,AQUCAR BP 100 Water Treatment Microbiocide,5647
2035,AQUCAR DB 100 Water Treatment Microbiocide,5646
2036,AQUCAR DB 20 Water Treatment Microbiocide,5645
2037,Bansan 150,5649
2038,Bansan 240,5643
2039,Bansan 500,5644
2040,Bansan 820,5645
2041,Gallery,5389
2042,GORI Anti Insekt,5596
2043,GORI Stop Svamp & Insekt,5596
2044,Jape – Insektsfri,5596
2045,X6122B1,5596
2046,BotaniGard WP,5406
2047,Select,5468
2048,Mospilan SG,4739
2049,TG 320 AF,4940
2050,Flexity,4847
2051,INFINITO,5072
2052,Corum,5631
2053,UNI-CLEAN Saneringsvätska,4937
2054,UNI-CLEAN SKY,4938
2055,Racumin 3D,5626
2056,Racumin Boost,5626
2057,Racumin DUO,5626
2058,Racumin Jump,5626
2059,Racumin NEO,5626
2060,Racumin PLUS,5626
2061,Racumin PRO,5626
2062,MyggA Roll on,3787
2063,Stroller Trippel Effekt,PHT-0071-4801
2064,Gallup Biograde 360,5518
2065,Pyretal Spray,5245
2066,MyggA Stick,4441
2067,Evolya,PHT-0070-5607
2068,Aqua Primer 2907-02 Colourless,5070-1-1
2069,Aqua Primer 2907-02 Palisander 9016,5070-1-3
2070,Aqua Primer 2907-02 Spruce 9002,5070-1-2
2071,Teknol Aqua 1410-01,4707
2072,Woodex Aqua Base,4707
2073,Laqvin Seal AA1951,5623
2074,Axil 2000,5311
2075,Acrobat WG,4201
2076,Confidor WG 70,5569
2077,Glyphomax Bio,4457
2078,Glypro Bio,4753
2079,Redigo M,5511
2080,Movento SC 100,5246
2081,Beloukha,
2082,Spotlight Plus,5577
2083,Gozai,
2084,Leopard,5621
2085,Salvesafe A28M,EU-0006622-0008
2086,Sure Antibac Handwash,EU-0006622-0008
2087,Sure Antibac Handwash Free,EU-0006622-0014
2088,Trilux 33,4594
2089,Apron XL,4362
2090,EXTERIS StressGard,5461
2091,Topsin WG,4888
2092,Pyre C,5332
2093,Raid Insektsspray,4375
2094,TEKNOL S 6005-00,4786
2095,Pro-Opti,PHT-0068-5566
2096,Renons Mygg & Fästingmedel Roll on,4923
2097,Renons Mygg & Fästingmedel Spray,4922
2098,K-Othrine SC 7.5,5255
2099,TEPPEKI,4966
2100,Nexide CS,5595
2101,Avaunt,5433
2102,Basagran SG,4115
2103,Dithane NT,
2104,Myrr till utvattning,5210
2105,Provanto Spray,5534
2106,Amistar,5465
2107,Heritage,5574
2108,Myrdosa F,5612
2109,Gibb Plus,
2110,Bromicide Granuler,3999
2111,Bromicide Tabletter,3998
2112,Cleravo,5330
2113,Intercide DBF 4 DIDP,4505
2114,Fennosan R 20 A,4734
2115,NoFästing Fästing Spray,4909
2116,NoSkito Mygg Lotion,4908
2117,NoSkito Mygg Spray,4907
2118,Regucil,PHT-0067-4140
2119,Pixxaro EC,5318
2120,Proman,5348
2121,Snigelmedel X Sniglar - Nej tack,5608
2122,Matrigon 600 SL,5507
2123,Comet Pro,5163
2124,Tocalis,5607
2125,Titus,5499
2126,Boxer,5565
2127,Fennosan BR 94,4410
2128,Fennosan BR 94 G,4411
2129,Fennosan BR 99,4412
2130,Fennosan R 20 V,3980
2131,Fennosan S 18,4040
2132,Typosan P306,
2133,Aqua Primer 2907-42 RAL 9010 Pure white,5071-1-1
2134,Aqua Primer 2907-42 TS 14872 Grey,5071-1-2
2135,Atlantis OD,4838
2136,Cossack OD,5263
2137,Gori 605,4786
2138,Jotun Industri Grunning Visir C base,5200
2139,Jotun Industri Grunning Visir Gul base,5202
2140,Jotun Industri Grunning Visir Hvit,5050
2141,Jotun Industri Grunning Visir N-1500,5201
2142,Phero-X-Lure IT,
2143,Protim P-Vac 11,5107
2144,Protox Svamp,5143
2145,Visir Oljegrunning Pigmentert,5051
2146,Avoxa,5604
2147,Callisto,5582
2148,Orocide Plus,5605
2149,Meristo,PHT-0066-5582
2150,Gori 356,4875
2151,Teknol Aqua 1410-01,5104
2152,Woodex Aqua Base,5104
2153,Ecocin 1+0,PHT-0065-4801
2154,Spectrum XD1414 Microbiocide,5600
2155,Biltema Insektsspray Krypande,4886
2156,Free Lotion Plus,5599
2157,Nr. 810 Myrspray,4886
2158,Select Plus,5293
2159,US 622 Myggspiral,2411
2160,Jungle Formula for Sensitive Skin,5204
2161,Jungle Formula Outdoor & Camping,5205
2162,Free Active Aerosol Repellent,5597
2163,Klerat vaxblock,5467
2164,Flug Effekt Spray,4715
2165,Geting Effekt,4825
2166,Myr Effekt Pulver,4730
2167,Myr Effekt Spray,4713
2168,Ohyra Effekt Spray,4717
2169,Madex Top,5598
2170,Exit RTU,4886
2171,DIOPYR,PHT-0064-5339
2172,Proman,5348
2173,Border 100 SC,5581
2174,Quadris,PHT-0063-5465
2175,Biltema Insektsspray,5108
2176,Steward 30 WG,5429
2177,CONCENTRATE INSECTICIDE 300,5372
2178,ETOF 300,5372
2179,Fenox,5372
2180,KELION,5372
2181,PHOBI FENOX,5372
2182,Gallery,5389
2183,Insect Repellent Lotion IR 3535 10%,5594
2184,Acticide L 10,4705
2185,Akla No bite,4882
2186,Antimicrobial 7287 DPG,4422
2187,AquaPy,4771
2188,AQUCAR BP 100 Water Treatment Microbiocide,4648
2189,AQUCAR DB 100 Water Treatment Microbiocide,4661
2190,AQUCAR DB 20 Water Treatment Microbiocide,3232
2191,Autan Family Care Gel,4763
2192,BIM MC 4910,4463
2193,Jablo,4972
2194,Kathon WTE,4419
2195,Nalco 74700,4332
2196,Protectol BN 18,3988
2197,Roundup Gold ST,4969
2198,Spectrum RX3165,4103
2199,Spectrum RX3898,4592
2200,Spectrum RX7811,4031
2201,Spectrum RX8808,4001
2202,Warosit 223,4424
2203,Warosit 319,4496
2204,Biobrom C-103 L,3978
2205,Biobrom C-103LP,4660
2206,Boracol 10/3Bd Prof,5592
2207,Boracol Special,5592
2208,Boracol Special 10/3Bd,5592
2209,Lentagran WP,5214
2210,Enclean,5590
2211,Enclean Ready to Use,5591
2212,Enclean RTU,5591
2213,Insect Repellent Aerosol IR 3535 30%,5561
2214,Insect Repellent Pump Spray IR 3535 20%,5360
2215,Radar,4895
2216,Linati,PHT-0061-5565
2217,Vespo,4039
2218,Korvetto,5503
2219,HINODE,PHT-0062-4966
2220,Myggstoppmattor,5303
2221,Beta-Baythroid SC 025,5495
2222,Celcure C4,5207
2223,DALIMO,PHT-0060-3957
2224,Alpha Pasta 4%,5156-1-1
2225,Black pearl grain,5155-1-1
2226,Black pearl pasta,5156-1-1
2227,FennoSpec 7810 T,5576
2228,Flash Grain,5155-1-1
2229,Flash Paste,5156-1-1
2230,Grain AF,5155-1-1
2231,Kobra Rax Musgift Korn,5155-1-1
2232,Kobra Rax Musgift Pasta,5156-1-1
2233,Magik Grain,5155-1-1
2234,Magik Paste,5156-1-1
2235,Muridax AK bete,5155-1-1
2236,Muridax AK box,5156-1-1
2237,Muridax AK pasta,5156-1-1
2238,Muskorn,5155-1-1
2239,Paste AF,5156-1-1
2240,Racan Grain AF,5155-1-1
2241,Racan Paste AF,5156-1-1
2242,Trinol Musgift,5155-1-1
2243,FennoSpec 7810,5576
2244,For Bug Plus,5575
2245,For Mite Plus,5575
2246,Mite-Killer,5575
2247,Vexine,5575
2248,AQUCAR GA 24 Water Treatment Microbiocide,4256
2249,AQUCAR GA 50 Water Treatment Microbiocide,3961
2250,Border 100 SC,5253
2251,Callisto,4898
2252,Raid Myrspray,4543
2253,Snip Myrdosa,4300
2254,Mirror,PHT-0059-5208
2255,Kalaguard E,5562
2256,Kalaguard SB E,5562
2257,Kalaguard SB Scopeblue,5562
2258,Purox Clean,5562
2259,Dipal Conc,5559-5-1
2260,Dipal RTU,5559-3-1
2261,Fortex,5559-2-3
2262,IodoFence,5559-2-2
2263,Proactive Plus,5559-6-1
2264,Tri-Fender,5559-1-1
2265,Snigelmedel Sniglar - Nej tack,PHT-0058-4414
2266,Arbinol B,5000
2267,Speed PA,PHT-0057-4657
2268,Speed PA Spray,PHT-0056-4658
2269,Pictor Active,5405
2270,Insektsmedel Insekter - Nej tack,PHT-0055-5350
2271,FERRIMAX,5400
2272,Devrinol,5249
2273,Raptol,5351
2274,DESINTEC MH-LactiSpray,EU-0019205-0003
2275,EASYgold,EU-0019205-0002
2276,FlexiGard Spray,EU-0019205-0001
2277,MEPA Easy Spray D,EU-0019205-0003
2278,Quaress-Din,EU-0019205-0004
2279,Valiant Everyday Ultra,EU-0019205-0005
